	x3125.50	x125.45	x625.55	x15625.45	x15625.50	x125.55	x625.50	x3125.45	x125.50	x625.45	x5.55	x5.50	x25.45	x25.55	x5.45	x25.50
x3125.50	0.0	0.626974228082	0.671998221256	0.636037317151	0.654309311659	0.62562906695	0.629837168828	0.591850278398	0.654473376238	0.604966813634	0.738808352317	0.717093534098	0.768472421266	0.649652431603	0.785260690039	0.683816615924
x125.45	0.626974228082	0.0	0.614154164402	0.677171801829	0.674205799998	0.592096974519	0.596589494905	0.640037317315	0.61614756242	0.593883903986	0.635953800114	0.654425755141	0.693755288046	0.616148444116	0.727686005554	0.606175127553
x625.55	0.671998221256	0.614154164402	0.0	0.707440072015	0.646136770809	0.541751131441	0.565736979259	0.664151916543	0.571279119936	0.605454614455	0.642280454485	0.645922476983	0.702890095491	0.604558550071	0.733375192258	0.595156797556
x15625.45	0.636037317151	0.677171801829	0.707440072015	0.0	0.635999105409	0.683177237653	0.689733510189	0.640300989785	0.708371093865	0.655275963119	0.76599322302	0.781838045405	0.810200087145	0.703402087654	0.844795527296	0.788870254226
x15625.50	0.654309311659	0.674205799998	0.646136770809	0.635999105409	0.0	0.632741580867	0.609432406599	0.607783301644	0.58161582973	0.621456420666	0.709700699811	0.723079147262	0.759705053438	0.647442868323	0.777462545676	0.730665007795
x125.55	0.62562906695	0.592096974519	0.541751131441	0.683177237653	0.632741580867	0.0	0.53525315711	0.634977866655	0.549920582878	0.590424973973	0.597591358516	0.610748346999	0.67804969097	0.541882456855	0.696672444108	0.558005749898
x625.50	0.629837168828	0.596589494905	0.565736979259	0.689733510189	0.609432406599	0.53525315711	0.0	0.621077649604	0.572693794462	0.567669569289	0.64408172667	0.634781515226	0.676914735725	0.556290976854	0.726484233325	0.589192290178
x3125.45	0.591850278398	0.640037317315	0.664151916543	0.640300989785	0.607783301644	0.634977866655	0.621077649604	0.0	0.611636597308	0.60318292998	0.72671976155	0.727839947541	0.760150269941	0.617849376453	0.785879185525	0.690952398492
x125.50	0.654473376238	0.61614756242	0.571279119936	0.708371093865	0.58161582973	0.549920582878	0.572693794462	0.611636597308	0.0	0.564846441983	0.584286959014	0.608269784998	0.650429192637	0.554013492792	0.700406578033	0.571709511662
x625.45	0.604966813634	0.593883903986	0.605454614455	0.655275963119	0.621456420666	0.590424973973	0.567669569289	0.60318292998	0.564846441983	0.0	0.591307312238	0.600849552238	0.669663470025	0.588213093877	0.713310366925	0.602612090715
x5.55	0.738808352317	0.635953800114	0.642280454485	0.76599322302	0.709700699811	0.597591358516	0.64408172667	0.72671976155	0.584286959014	0.591307312238	0.0	0.469458941425	0.539344831698	0.595347919765	0.53261265791	0.501618009707
x5.50	0.717093534098	0.654425755141	0.645922476983	0.781838045405	0.723079147262	0.610748346999	0.634781515226	0.727839947541	0.608269784998	0.600849552238	0.469458941425	0.0	0.541015391098	0.603595308035	0.549294406432	0.466790617714
x25.45	0.768472421266	0.693755288046	0.702890095491	0.810200087145	0.759705053438	0.67804969097	0.676914735725	0.760150269941	0.650429192637	0.669663470025	0.539344831698	0.541015391098	0.0	0.655502939905	0.427517479881	0.53574316457
x25.55	0.649652431603	0.616148444116	0.604558550071	0.703402087654	0.647442868323	0.541882456855	0.556290976854	0.617849376453	0.554013492792	0.588213093877	0.595347919765	0.603595308035	0.655502939905	0.0	0.707179641957	0.581365654621
x5.45	0.785260690039	0.727686005554	0.733375192258	0.844795527296	0.777462545676	0.696672444108	0.726484233325	0.785879185525	0.700406578033	0.713310366925	0.53261265791	0.549294406432	0.427517479881	0.707179641957	0.0	0.56512641458
x25.50	0.683816615924	0.606175127553	0.595156797556	0.788870254226	0.730665007795	0.558005749898	0.589192290178	0.690952398492	0.571709511662	0.602612090715	0.501618009707	0.466790617714	0.53574316457	0.581365654621	0.56512641458	0.0
